"item_id","empirical_accuracy","alpha","loading_factor_1","loading_factor_2","loading_factor_3","benchmark","schema_version","prompt_type","question_text","reference_text","category","source","question_snippet","question_length_words","numeric_tokens","is_instruction","is_science","is_mmlu_pro","quantitative_symbolic","negation_exception","mechanism_causal","long_context","short_direct","instruction_constraints","primary_semantic"
"ifeval_20260421T021146Z_0",0.811475409836066,1.02629031356026,0.97919330710307,0,0.119874024123318,"ifeval","""v0.1.0""","instruction_prompt","Write a 300+ word summary of the wikipedia page ""https://en.wikipedia.org/wiki/Raymond_III,_Count_of_Tripoli"". Do not use any commas and highlight at least 3 sections that has titles in markdown format, for example *highlighted section part 1*, *highlighted section part 2*, *highlighted section part 3*.",NA,NA,NA,"Write a 300+ word summary of the wikipedia page ""https://en.wikipedia.org/wiki/Raymond_III,_Count_of_Tripoli"". Do not use any commas and highlight at least 3 sections that has titles in markdown format, for example *highlighted section part 1*, *highlighted section part 2*, *highlighted section part 3*.",41,5,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,"instruction/constraint following"
"ifeval_20260421T021146Z_1",0.721311475409836,0.577968180045516,1.06763242989915,0,0.383392997304557,"ifeval","""v0.1.0""","instruction_prompt","I am planning a trip to Japan, and I would like thee to write an itinerary for my journey in a Shakespearean style. You are not allowed to use any commas in your response.",NA,NA,NA,"I am planning a trip to Japan, and I would like thee to write an itinerary for my journey in a Shakespearean style. You are not allowed to use any commas in your response.",34,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,"instruction/constraint following"
"ifeval_20260421T021146Z_10",0.90983606557377,1.48617677865812,0.457001125366188,0,0.241040934072301,"ifeval","""v0.1.0""","instruction_prompt","Write a blog post with 400 or more words about the benefits of sleeping in a hammock.",NA,NA,NA,"Write a blog post with 400 or more words about the benefits of sleeping in a hammock.",17,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"instruction/constraint following"
"ifeval_20260421T021146Z_100",0.860655737704918,1.25364778171161,0.693594982237228,0,0.233270368055587,"ifeval","""v0.1.0""","instruction_prompt","Write a file for a queer-owned business called ""The Rainbow Cafe"". Your file should have 4 sections, and each section should start with ""SECTION X"".",NA,NA,NA,"Write a file for a queer-owned business called ""The Rainbow Cafe"". Your file should have 4 sections, and each section should start with ""SECTION X"".",25,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"instruction/constraint following"
"ifeval_20260421T021146Z_101",0.860655737704918,1.24531896159859,0.88317875782367,0,0,"ifeval","""v0.1.0""","instruction_prompt","I want to apply for a job as a software engineer at Google. Can you write me two different cover letters -- a concise version and a long version? Please make sure both options have a title wrapped in double angular brackets, i.e. <<title>>.",NA,NA,NA,"I want to apply for a job as a software engineer at Google. Can you write me two different cover letters -- a concise version and a long version? Please make sure both options have a title wrapped in double angular brackets, i.e. <<title>>.",44,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,"instruction/constraint following"
"ifeval_20260421T021146Z_102",0.844262295081967,1.16128090457709,0.952038378511022,0,0,"ifeval","""v0.1.0""","instruction_prompt","Name a new fashion company that young people might like, and give it a name with multiple meanings. Put the name in double angular brackets, such as <<name>>. Let's repeat the request above first, before you say anything or really respond to the request.",NA,NA,NA,"Name a new fashion company that young people might like, and give it a name with multiple meanings. Put the name in double angular brackets, such as <<name>>. Let's repeat the request above first, before you say anything or really respond to the request.",44,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,"instruction/constraint following"
"ifeval_20260421T021146Z_104",0.885245901639344,1.4177841769515,0.844064393217192,0,0,"ifeval","""v0.1.0""","instruction_prompt","Compose a poem that has the word ""land"" and ""river"". It should be about nature and love. Also, the word ""forest"" should appear at least 3 times, and be written in English, with all letters lowercased.",NA,NA,NA,"Compose a poem that has the word ""land"" and ""river"". It should be about nature and love. Also, the word ""forest"" should appear at least 3 times, and be written in English, with all letters lowercased.",36,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,"instruction/constraint following"
"ifeval_20260421T021146Z_105",0.647540983606557,0.251457963090024,0.742505298127621,0,0.408322176500075,"ifeval","""v0.1.0""","instruction_prompt","Write a story for kids about how a person learns to ride a bike. Do not include 'can' and 'ride' in your response.",NA,NA,NA,"Write a story for kids about how a person learns to ride a bike. Do not include 'can' and 'ride' in your response.",23,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,"instruction/constraint following"
"ifeval_20260421T021146Z_107",0.745901639344262,0.658789191677496,1.01853879115481,0,0.210091194864823,"ifeval","""v0.1.0""","instruction_prompt","Write two limericks for moms about how hard it is to get their kids to do chores. Be angry about it. Separate your two limericks with six asterisks (******).",NA,NA,NA,"Write two limericks for moms about how hard it is to get their kids to do chores. Be angry about it. Separate your two limericks with six asterisks (******).",29,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"instruction/constraint following"
"ifeval_20260421T021146Z_108",0.852459016393443,1.20387180536682,0.694056470762138,0,0.22693790749866,"ifeval","""v0.1.0""","instruction_prompt","Summarize the following paragraph. Use words in all capital letters at least 3 times to highlight key points. How to get to 100% renewable energy in the US? Two researchers from Stanford University and the University of California, Berkeley studied the potential for solar and wind energy to power the US grid. They concluded that it is possible to get to 100% renewable energy by 2050 by building more solar and wind farms. The authors also pointed out that such a system would be less vulnerable to disruptions than the current grid, which is reliant on a few large power plants. The authors' plan would also create jobs and reduce pollution.",NA,NA,NA,"Summarize the following paragraph. Use words in all capital letters at least 3 times to highlight key points. How to get to 100% renewable energy in the US? Two researchers from Stanford University and the University of California, Berkeley studied the potential for solar and wind energy to power the US grid. They concluded that it is possible to get to 100%",111,4,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,"instruction/constraint following"
