"benchmark","item_id","item_metadata","item_content","schema_version","prompt","instruction_ids","instruction_families","n_instructions","n_unique_instruction_ids","instruction_kwargs"
"ifeval","ifeval_20260421T021146Z_0","{""contributor"": {""affiliation"": ""JHU,Stanford"", ""email"": ""hjiang66@jh.edu,"", ""name"": ""Han,CRFM""}, ""ingestion_time"": ""20260421T021146Z"", ""source"": ""IFEval""}","{""input"": [""{\""prompt\"": \""Write a 300+ word summary of the wikipedia page \\\""https://en.wikipedia.org/wiki/Raymond_III,_Count_of_Tripoli\\\"". Do not use any commas and highlight at least 3 sections that has titles in markdown format, for example *highlighted section part 1*, *highlighted section part 2*, *highlighted section part 3*.\"", \""instruction_id_list\"": [\""punctuation:no_comma\"", \""detectable_format:number_highlighted_sections\"", \""length_constraints:number_words\""], \""kwargs\"": [{\""num_highlights\"": null, \""relation\"": null, \""num_words\"": null, \""num_placeholders\"": null, \""prompt_to_repeat\"": null, \""num_bullets\"": null, \""section_spliter\"": null, \""num_sections\"": null, \""capital_relation\"": null, \""capital_frequency\"": null, \""keywords\"": null, \""num_paragraphs\"": null, \""language\"": null, \""let_relation\"": null, \""letter\"": null, \""let_frequency\"": null, \""end_phrase\"": null, \""forbidden_words\"": null, \""keyword\"": null, \""frequency\"": null, \""num_sentences\"": null, \""postscript_marker\"": null, \""first_word\"": null, \""nth_paragraph\"": null}, {\""num_highlights\"": 3, \""relation\"": null, \""num_words\"": null, \""num_placeholders\"": null, \""prompt_to_repeat\"": null, \""num_bullets\"": null, \""section_spliter\"": null, \""num_sections\"": null, \""capital_relation\"": null, \""capital_frequency\"": null, \""keywords\"": null, \""num_paragraphs\"": null, \""language\"": null, \""let_relation\"": null, \""letter\"": null, \""let_frequency\"": null, \""end_phrase\"": null, \""forbidden_words\"": null, \""keyword\"": null, \""frequency\"": null, \""num_sentences\"": null, \""postscript_marker\"": null, \""first_word\"": null, \""nth_paragraph\"": null}, {\""num_highlights\"": null, \""relation\"": \""at least\"", \""num_words\"": 300, \""num_placeholders\"": null, \""prompt_to_repeat\"": null, \""num_bullets\"": null, \""section_spliter\"": null, \""num_sections\"": null, \""capital_relation\"": null, \""capital_frequency\"": null, \""keywords\"": null, \""num_paragraphs\"": null, \""language\"": null, \""let_relation\"": null, \""letter\"": null, \""let_frequency\"": null, \""end_phrase\"": null, \""forbidden_words\"": null, \""keyword\"": null, \""frequency\"": null, \""num_sentences\"": null, \""postscript_marker\"": null, \""first_word\"": null, \""nth_paragraph\"": null}]}""], ""references"": []}","""v0.1.0""","Write a 300+ word summary of the wikipedia page ""https://en.wikipedia.org/wiki/Raymond_III,_Count_of_Tripoli"". Do not use any commas and highlight at least 3 sections that has titles in markdown format, for example *highlighted section part 1*, *highlighted section part 2*, *highlighted section part 3*.","punctuation:no_comma|detectable_format:number_highlighted_sections|length_constraints:number_words","punctuation|detectable_format|length_constraints",3,3,"""[{\""capital_frequency\"": null, \""capital_relation\"": null, \""end_phrase\"": null, \""first_word\"": null, \""forbidden_words\"": null, \""frequency\"": null, \""keyword\"": null, \""keywords\"": null, \""language\"": null, \""let_frequency\"": null, \""let_relation\"": null, \""letter\"": null, \""nth_paragraph\"": null, \""num_bullets\"": null, \""num_highlights\"": null, \""num_paragraphs\"": null, \""num_placeholders\"": null, \""num_sections\"": null, \""num_sentences\"": null, \""num_words\"": null, \""postscript_marker\"": null, \""prompt_to_repeat\"": null, \""relation\"": null, \""section_spliter\"": null}, {\""capital_frequency\"": null, \""capital_relation\"": null, \""end_phrase\"": null, \""first_word\"": null, \""forbidden_words\"": null, \""frequency\"": null, \""keyword\"": null, \""keywords\"": null, \""language\"": null, \""let_frequency\"": null, \""let_relation\"": null, \""letter\"": null, \""nth_paragraph\"": null, \""num_bullets\"": null, \""num_highlights\"": 3, \""num_paragraphs\"": null, \""num_placeholders\"": null, \""num_sections\"": null, \""num_sentences\"": null, \""num_words\"": null, \""postscript_marker\"": null, \""prompt_to_repeat\"": null, \""relation\"": null, \""section_spliter\"": null}, {\""capital_frequency\"": null, \""capital_relation\"": null, \""end_phrase\"": null, \""first_word\"": null, \""forbidden_words\"": null, \""frequency\"": null, \""keyword\"": null, \""keywords\"": null, \""language\"": null, \""let_frequency\"": null, \""let_relation\"": null, \""letter\"": null, \""nth_paragraph\"": null, \""num_bullets\"": null, \""num_highlights\"": null, \""num_paragraphs\"": null, \""num_placeholders\"": null, \""num_sections\"": null, \""num_sentences\"": null, \""num_words\"": 300, \""postscript_marker\"": null, \""prompt_to_repeat\"": null, \""relation\"": \""at least\"", \""section_spliter\"": null}]"""
"ifeval","ifeval_20260421T021146Z_1","{""contributor"": {""affiliation"": ""JHU,Stanford"", ""email"": ""hjiang66@jh.edu,"", ""name"": ""Han,CRFM""}, ""ingestion_time"": ""20260421T021146Z"", ""source"": ""IFEval""}","{""input"": [""{\""prompt\"": \""I am planning a trip to Japan, and I would like thee to write an itinerary for my journey in a Shakespearean style. You are not allowed to use any commas in your response.\"", \""instruction_id_list\"": [\""punctuation:no_comma\""], \""kwargs\"": [{\""num_highlights\"": null, \""relation\"": null, \""num_words\"": null, \""num_placeholders\"": null, \""prompt_to_repeat\"": null, \""num_bullets\"": null, \""section_spliter\"": null, \""num_sections\"": null, \""capital_relation\"": null, \""capital_frequency\"": null, \""keywords\"": null, \""num_paragraphs\"": null, \""language\"": null, \""let_relation\"": null, \""letter\"": null, \""let_frequency\"": null, \""end_phrase\"": null, \""forbidden_words\"": null, \""keyword\"": null, \""frequency\"": null, \""num_sentences\"": null, \""postscript_marker\"": null, \""first_word\"": null, \""nth_paragraph\"": null}]}""], ""references"": []}","""v0.1.0""","I am planning a trip to Japan, and I would like thee to write an itinerary for my journey in a Shakespearean style. You are not allowed to use any commas in your response.","punctuation:no_comma","punctuation",1,1,"""[{\""capital_frequency\"": null, \""capital_relation\"": null, \""end_phrase\"": null, \""first_word\"": null, \""forbidden_words\"": null, \""frequency\"": null, \""keyword\"": null, \""keywords\"": null, \""language\"": null, \""let_frequency\"": null, \""let_relation\"": null, \""letter\"": null, \""nth_paragraph\"": null, \""num_bullets\"": null, \""num_highlights\"": null, \""num_paragraphs\"": null, \""num_placeholders\"": null, \""num_sections\"": null, \""num_sentences\"": null, \""num_words\"": null, \""postscript_marker\"": null, \""prompt_to_repeat\"": null, \""relation\"": null, \""section_spliter\"": null}]"""
"ifeval","ifeval_20260421T021146Z_10","{""contributor"": {""affiliation"": ""JHU,Stanford"", ""email"": ""hjiang66@jh.edu,"", ""name"": ""Han,CRFM""}, ""ingestion_time"": ""20260421T021146Z"", ""source"": ""IFEval""}","{""input"": [""{\""prompt\"": \""Write a blog post with 400 or more words about the benefits of sleeping in a hammock.\"", \""instruction_id_list\"": [\""length_constraints:number_words\""], \""kwargs\"": [{\""num_highlights\"": null, \""relation\"": \""at least\"", \""num_words\"": 400, \""num_placeholders\"": null, \""prompt_to_repeat\"": null, \""num_bullets\"": null, \""section_spliter\"": null, \""num_sections\"": null, \""capital_relation\"": null, \""capital_frequency\"": null, \""keywords\"": null, \""num_paragraphs\"": null, \""language\"": null, \""let_relation\"": null, \""letter\"": null, \""let_frequency\"": null, \""end_phrase\"": null, \""forbidden_words\"": null, \""keyword\"": null, \""frequency\"": null, \""num_sentences\"": null, \""postscript_marker\"": null, \""first_word\"": null, \""nth_paragraph\"": null}]}""], ""references"": []}","""v0.1.0""","Write a blog post with 400 or more words about the benefits of sleeping in a hammock.","length_constraints:number_words","length_constraints",1,1,"""[{\""capital_frequency\"": null, \""capital_relation\"": null, \""end_phrase\"": null, \""first_word\"": null, \""forbidden_words\"": null, \""frequency\"": null, \""keyword\"": null, \""keywords\"": null, \""language\"": null, \""let_frequency\"": null, \""let_relation\"": null, \""letter\"": null, \""nth_paragraph\"": null, \""num_bullets\"": null, \""num_highlights\"": null, \""num_paragraphs\"": null, \""num_placeholders\"": null, \""num_sections\"": null, \""num_sentences\"": null, \""num_words\"": 400, \""postscript_marker\"": null, \""prompt_to_repeat\"": null, \""relation\"": \""at least\"", \""section_spliter\"": null}]"""
"ifeval","ifeval_20260421T021146Z_100","{""contributor"": {""affiliation"": ""JHU,Stanford"", ""email"": ""hjiang66@jh.edu,"", ""name"": ""Han,CRFM""}, ""ingestion_time"": ""20260421T021146Z"", ""source"": ""IFEval""}","{""input"": [""{\""prompt\"": \""Write a file for a queer-owned business called \\\""The Rainbow Cafe\\\"". Your file should have 4 sections, and each section should start with \\\""SECTION X\\\"".\"", \""instruction_id_list\"": [\""detectable_format:multiple_sections\""], \""kwargs\"": [{\""num_highlights\"": null, \""relation\"": null, \""num_words\"": null, \""num_placeholders\"": null, \""prompt_to_repeat\"": null, \""num_bullets\"": null, \""section_spliter\"": \""SECTION\"", \""num_sections\"": 4, \""capital_relation\"": null, \""capital_frequency\"": null, \""keywords\"": null, \""num_paragraphs\"": null, \""language\"": null, \""let_relation\"": null, \""letter\"": null, \""let_frequency\"": null, \""end_phrase\"": null, \""forbidden_words\"": null, \""keyword\"": null, \""frequency\"": null, \""num_sentences\"": null, \""postscript_marker\"": null, \""first_word\"": null, \""nth_paragraph\"": null}]}""], ""references"": []}","""v0.1.0""","Write a file for a queer-owned business called ""The Rainbow Cafe"". Your file should have 4 sections, and each section should start with ""SECTION X"".","detectable_format:multiple_sections","detectable_format",1,1,"""[{\""capital_frequency\"": null, \""capital_relation\"": null, \""end_phrase\"": null, \""first_word\"": null, \""forbidden_words\"": null, \""frequency\"": null, \""keyword\"": null, \""keywords\"": null, \""language\"": null, \""let_frequency\"": null, \""let_relation\"": null, \""letter\"": null, \""nth_paragraph\"": null, \""num_bullets\"": null, \""num_highlights\"": null, \""num_paragraphs\"": null, \""num_placeholders\"": null, \""num_sections\"": 4, \""num_sentences\"": null, \""num_words\"": null, \""postscript_marker\"": null, \""prompt_to_repeat\"": null, \""relation\"": null, \""section_spliter\"": \""SECTION\""}]"""
"ifeval","ifeval_20260421T021146Z_101","{""contributor"": {""affiliation"": ""JHU,Stanford"", ""email"": ""hjiang66@jh.edu,"", ""name"": ""Han,CRFM""}, ""ingestion_time"": ""20260421T021146Z"", ""source"": ""IFEval""}","{""input"": [""{\""prompt\"": \""I want to apply for a job as a software engineer at Google. Can you write me two different cover letters -- a concise version and a long version? Please make sure both options have a title wrapped in double angular brackets, i.e. <<title>>.\"", \""instruction_id_list\"": [\""detectable_format:title\""], \""kwargs\"": [{\""num_highlights\"": null, \""relation\"": null, \""num_words\"": null, \""num_placeholders\"": null, \""prompt_to_repeat\"": null, \""num_bullets\"": null, \""section_spliter\"": null, \""num_sections\"": null, \""capital_relation\"": null, \""capital_frequency\"": null, \""keywords\"": null, \""num_paragraphs\"": null, \""language\"": null, \""let_relation\"": null, \""letter\"": null, \""let_frequency\"": null, \""end_phrase\"": null, \""forbidden_words\"": null, \""keyword\"": null, \""frequency\"": null, \""num_sentences\"": null, \""postscript_marker\"": null, \""first_word\"": null, \""nth_paragraph\"": null}]}""], ""references"": []}","""v0.1.0""","I want to apply for a job as a software engineer at Google. Can you write me two different cover letters -- a concise version and a long version? Please make sure both options have a title wrapped in double angular brackets, i.e. <<title>>.","detectable_format:title","detectable_format",1,1,"""[{\""capital_frequency\"": null, \""capital_relation\"": null, \""end_phrase\"": null, \""first_word\"": null, \""forbidden_words\"": null, \""frequency\"": null, \""keyword\"": null, \""keywords\"": null, \""language\"": null, \""let_frequency\"": null, \""let_relation\"": null, \""letter\"": null, \""nth_paragraph\"": null, \""num_bullets\"": null, \""num_highlights\"": null, \""num_paragraphs\"": null, \""num_placeholders\"": null, \""num_sections\"": null, \""num_sentences\"": null, \""num_words\"": null, \""postscript_marker\"": null, \""prompt_to_repeat\"": null, \""relation\"": null, \""section_spliter\"": null}]"""
"ifeval","ifeval_20260421T021146Z_102","{""contributor"": {""affiliation"": ""JHU,Stanford"", ""email"": ""hjiang66@jh.edu,"", ""name"": ""Han,CRFM""}, ""ingestion_time"": ""20260421T021146Z"", ""source"": ""IFEval""}","{""input"": [""{\""prompt\"": \""Name a new fashion company that young people might like, and give it a name with multiple meanings. Put the name in double angular brackets, such as <<name>>.\\n\\nLet's repeat the request above first, before you say anything or really respond to the request.\"", \""instruction_id_list\"": [\""combination:repeat_prompt\"", \""detectable_format:title\""], \""kwargs\"": [{\""num_highlights\"": null, \""relation\"": null, \""num_words\"": null, \""num_placeholders\"": null, \""prompt_to_repeat\"": \""Name a new fashion company that young people might like, and give it a name with multiple meanings. Put the name in double angular brackets, such as <<name>>.\"", \""num_bullets\"": null, \""section_spliter\"": null, \""num_sections\"": null, \""capital_relation\"": null, \""capital_frequency\"": null, \""keywords\"": null, \""num_paragraphs\"": null, \""language\"": null, \""let_relation\"": null, \""letter\"": null, \""let_frequency\"": null, \""end_phrase\"": null, \""forbidden_words\"": null, \""keyword\"": null, \""frequency\"": null, \""num_sentences\"": null, \""postscript_marker\"": null, \""first_word\"": null, \""nth_paragraph\"": null}, {\""num_highlights\"": null, \""relation\"": null, \""num_words\"": null, \""num_placeholders\"": null, \""prompt_to_repeat\"": null, \""num_bullets\"": null, \""section_spliter\"": null, \""num_sections\"": null, \""capital_relation\"": null, \""capital_frequency\"": null, \""keywords\"": null, \""num_paragraphs\"": null, \""language\"": null, \""let_relation\"": null, \""letter\"": null, \""let_frequency\"": null, \""end_phrase\"": null, \""forbidden_words\"": null, \""keyword\"": null, \""frequency\"": null, \""num_sentences\"": null, \""postscript_marker\"": null, \""first_word\"": null, \""nth_paragraph\"": null}]}""], ""references"": []}","""v0.1.0""","Name a new fashion company that young people might like, and give it a name with multiple meanings. Put the name in double angular brackets, such as <<name>>.

Let's repeat the request above first, before you say anything or really respond to the request.","combination:repeat_prompt|detectable_format:title","combination|detectable_format",2,2,"""[{\""capital_frequency\"": null, \""capital_relation\"": null, \""end_phrase\"": null, \""first_word\"": null, \""forbidden_words\"": null, \""frequency\"": null, \""keyword\"": null, \""keywords\"": null, \""language\"": null, \""let_frequency\"": null, \""let_relation\"": null, \""letter\"": null, \""nth_paragraph\"": null, \""num_bullets\"": null, \""num_highlights\"": null, \""num_paragraphs\"": null, \""num_placeholders\"": null, \""num_sections\"": null, \""num_sentences\"": null, \""num_words\"": null, \""postscript_marker\"": null, \""prompt_to_repeat\"": \""Name a new fashion company that young people might like, and give it a name with multiple meanings. Put the name in double angular brackets, such as <<name>>.\"", \""relation\"": null, \""section_spliter\"": null}, {\""capital_frequency\"": null, \""capital_relation\"": null, \""end_phrase\"": null, \""first_word\"": null, \""forbidden_words\"": null, \""frequency\"": null, \""keyword\"": null, \""keywords\"": null, \""language\"": null, \""let_frequency\"": null, \""let_relation\"": null, \""letter\"": null, \""nth_paragraph\"": null, \""num_bullets\"": null, \""num_highlights\"": null, \""num_paragraphs\"": null, \""num_placeholders\"": null, \""num_sections\"": null, \""num_sentences\"": null, \""num_words\"": null, \""postscript_marker\"": null, \""prompt_to_repeat\"": null, \""relation\"": null, \""section_spliter\"": null}]"""
"ifeval","ifeval_20260421T021146Z_103","{""contributor"": {""affiliation"": ""JHU,Stanford"", ""email"": ""hjiang66@jh.edu,"", ""name"": ""Han,CRFM""}, ""ingestion_time"": ""20260421T021146Z"", ""source"": ""IFEval""}","{""input"": [""{\""prompt\"": \""Write a song about regrets in the style of Taylor Swift. Please include explanations for the lyrics you write. Make sure your entire response is in English, and in all capital letters.\"", \""instruction_id_list\"": [\""change_case:english_capital\""], \""kwargs\"": [{\""num_highlights\"": null, \""relation\"": null, \""num_words\"": null, \""num_placeholders\"": null, \""prompt_to_repeat\"": null, \""num_bullets\"": null, \""section_spliter\"": null, \""num_sections\"": null, \""capital_relation\"": null, \""capital_frequency\"": null, \""keywords\"": null, \""num_paragraphs\"": null, \""language\"": null, \""let_relation\"": null, \""letter\"": null, \""let_frequency\"": null, \""end_phrase\"": null, \""forbidden_words\"": null, \""keyword\"": null, \""frequency\"": null, \""num_sentences\"": null, \""postscript_marker\"": null, \""first_word\"": null, \""nth_paragraph\"": null}]}""], ""references"": []}","""v0.1.0""","Write a song about regrets in the style of Taylor Swift. Please include explanations for the lyrics you write. Make sure your entire response is in English, and in all capital letters.","change_case:english_capital","change_case",1,1,"""[{\""capital_frequency\"": null, \""capital_relation\"": null, \""end_phrase\"": null, \""first_word\"": null, \""forbidden_words\"": null, \""frequency\"": null, \""keyword\"": null, \""keywords\"": null, \""language\"": null, \""let_frequency\"": null, \""let_relation\"": null, \""letter\"": null, \""nth_paragraph\"": null, \""num_bullets\"": null, \""num_highlights\"": null, \""num_paragraphs\"": null, \""num_placeholders\"": null, \""num_sections\"": null, \""num_sentences\"": null, \""num_words\"": null, \""postscript_marker\"": null, \""prompt_to_repeat\"": null, \""relation\"": null, \""section_spliter\"": null}]"""
"ifeval","ifeval_20260421T021146Z_104","{""contributor"": {""affiliation"": ""JHU,Stanford"", ""email"": ""hjiang66@jh.edu,"", ""name"": ""Han,CRFM""}, ""ingestion_time"": ""20260421T021146Z"", ""source"": ""IFEval""}","{""input"": [""{\""prompt\"": \""Compose a poem that has the word \\\""land\\\"" and \\\""river\\\"". It should be about nature and love. Also, the word \\\""forest\\\"" should appear at least 3 times, and be written in English, with all letters lowercased.\"", \""instruction_id_list\"": [\""keywords:frequency\"", \""change_case:english_lowercase\"", \""keywords:existence\""], \""kwargs\"": [{\""num_highlights\"": null, \""relation\"": \""at least\"", \""num_words\"": null, \""num_placeholders\"": null, \""prompt_to_repeat\"": null, \""num_bullets\"": null, \""section_spliter\"": null, \""num_sections\"": null, \""capital_relation\"": null, \""capital_frequency\"": null, \""keywords\"": null, \""num_paragraphs\"": null, \""language\"": null, \""let_relation\"": null, \""letter\"": null, \""let_frequency\"": null, \""end_phrase\"": null, \""forbidden_words\"": null, \""keyword\"": \""forest\"", \""frequency\"": 3, \""num_sentences\"": null, \""postscript_marker\"": null, \""first_word\"": null, \""nth_paragraph\"": null}, {\""num_highlights\"": null, \""relation\"": null, \""num_words\"": null, \""num_placeholders\"": null, \""prompt_to_repeat\"": null, \""num_bullets\"": null, \""section_spliter\"": null, \""num_sections\"": null, \""capital_relation\"": null, \""capital_frequency\"": null, \""keywords\"": null, \""num_paragraphs\"": null, \""language\"": null, \""let_relation\"": null, \""letter\"": null, \""let_frequency\"": null, \""end_phrase\"": null, \""forbidden_words\"": null, \""keyword\"": null, \""frequency\"": null, \""num_sentences\"": null, \""postscript_marker\"": null, \""first_word\"": null, \""nth_paragraph\"": null}, {\""num_highlights\"": null, \""relation\"": null, \""num_words\"": null, \""num_placeholders\"": null, \""prompt_to_repeat\"": null, \""num_bullets\"": null, \""section_spliter\"": null, \""num_sections\"": null, \""capital_relation\"": null, \""capital_frequency\"": null, \""keywords\"": [\""land\"", \""river\""], \""num_paragraphs\"": null, \""language\"": null, \""let_relation\"": null, \""letter\"": null, \""let_frequency\"": null, \""end_phrase\"": null, \""forbidden_words\"": null, \""keyword\"": null, \""frequency\"": null, \""num_sentences\"": null, \""postscript_marker\"": null, \""first_word\"": null, \""nth_paragraph\"": null}]}""], ""references"": []}","""v0.1.0""","Compose a poem that has the word ""land"" and ""river"". It should be about nature and love. Also, the word ""forest"" should appear at least 3 times, and be written in English, with all letters lowercased.","keywords:frequency|change_case:english_lowercase|keywords:existence","keywords|change_case|keywords",3,3,"""[{\""capital_frequency\"": null, \""capital_relation\"": null, \""end_phrase\"": null, \""first_word\"": null, \""forbidden_words\"": null, \""frequency\"": 3, \""keyword\"": \""forest\"", \""keywords\"": null, \""language\"": null, \""let_frequency\"": null, \""let_relation\"": null, \""letter\"": null, \""nth_paragraph\"": null, \""num_bullets\"": null, \""num_highlights\"": null, \""num_paragraphs\"": null, \""num_placeholders\"": null, \""num_sections\"": null, \""num_sentences\"": null, \""num_words\"": null, \""postscript_marker\"": null, \""prompt_to_repeat\"": null, \""relation\"": \""at least\"", \""section_spliter\"": null}, {\""capital_frequency\"": null, \""capital_relation\"": null, \""end_phrase\"": null, \""first_word\"": null, \""forbidden_words\"": null, \""frequency\"": null, \""keyword\"": null, \""keywords\"": null, \""language\"": null, \""let_frequency\"": null, \""let_relation\"": null, \""letter\"": null, \""nth_paragraph\"": null, \""num_bullets\"": null, \""num_highlights\"": null, \""num_paragraphs\"": null, \""num_placeholders\"": null, \""num_sections\"": null, \""num_sentences\"": null, \""num_words\"": null, \""postscript_marker\"": null, \""prompt_to_repeat\"": null, \""relation\"": null, \""section_spliter\"": null}, {\""capital_frequency\"": null, \""capital_relation\"": null, \""end_phrase\"": null, \""first_word\"": null, \""forbidden_words\"": null, \""frequency\"": null, \""keyword\"": null, \""keywords\"": [\""land\"", \""river\""], \""language\"": null, \""let_frequency\"": null, \""let_relation\"": null, \""letter\"": null, \""nth_paragraph\"": null, \""num_bullets\"": null, \""num_highlights\"": null, \""num_paragraphs\"": null, \""num_placeholders\"": null, \""num_sections\"": null, \""num_sentences\"": null, \""num_words\"": null, \""postscript_marker\"": null, \""prompt_to_repeat\"": null, \""relation\"": null, \""section_spliter\"": null}]"""
"ifeval","ifeval_20260421T021146Z_105","{""contributor"": {""affiliation"": ""JHU,Stanford"", ""email"": ""hjiang66@jh.edu,"", ""name"": ""Han,CRFM""}, ""ingestion_time"": ""20260421T021146Z"", ""source"": ""IFEval""}","{""input"": [""{\""prompt\"": \""Write a story for kids about how a person learns to ride a bike. Do not include 'can' and 'ride' in your response.\"", \""instruction_id_list\"": [\""keywords:forbidden_words\""], \""kwargs\"": [{\""num_highlights\"": null, \""relation\"": null, \""num_words\"": null, \""num_placeholders\"": null, \""prompt_to_repeat\"": null, \""num_bullets\"": null, \""section_spliter\"": null, \""num_sections\"": null, \""capital_relation\"": null, \""capital_frequency\"": null, \""keywords\"": null, \""num_paragraphs\"": null, \""language\"": null, \""let_relation\"": null, \""letter\"": null, \""let_frequency\"": null, \""end_phrase\"": null, \""forbidden_words\"": [\""can\"", \""ride\""], \""keyword\"": null, \""frequency\"": null, \""num_sentences\"": null, \""postscript_marker\"": null, \""first_word\"": null, \""nth_paragraph\"": null}]}""], ""references"": []}","""v0.1.0""","Write a story for kids about how a person learns to ride a bike. Do not include 'can' and 'ride' in your response.","keywords:forbidden_words","keywords",1,1,"""[{\""capital_frequency\"": null, \""capital_relation\"": null, \""end_phrase\"": null, \""first_word\"": null, \""forbidden_words\"": [\""can\"", \""ride\""], \""frequency\"": null, \""keyword\"": null, \""keywords\"": null, \""language\"": null, \""let_frequency\"": null, \""let_relation\"": null, \""letter\"": null, \""nth_paragraph\"": null, \""num_bullets\"": null, \""num_highlights\"": null, \""num_paragraphs\"": null, \""num_placeholders\"": null, \""num_sections\"": null, \""num_sentences\"": null, \""num_words\"": null, \""postscript_marker\"": null, \""prompt_to_repeat\"": null, \""relation\"": null, \""section_spliter\"": null}]"""
"ifeval","ifeval_20260421T021146Z_106","{""contributor"": {""affiliation"": ""JHU,Stanford"", ""email"": ""hjiang66@jh.edu,"", ""name"": ""Han,CRFM""}, ""ingestion_time"": ""20260421T021146Z"", ""source"": ""IFEval""}","{""input"": [""{\""prompt\"": \""Criticize this sentence in a funny way: \\\""Nhi\\u1ec7m v\\u1ee5 c\\u1ee7a m\\u1eb9 l\\u00e0 nu\\u00f4i d\\u1ea1y con c\\u00e1i.\\\""\\n\\nProvide exactly two critiques separated by ******. Each response should be entirely in Vietnamese, no other language is allowed, and should not contain commas.\"", \""instruction_id_list\"": [\""combination:two_responses\"", \""language:response_language\"", \""punctuation:no_comma\""], \""kwargs\"": [{\""num_highlights\"": null, \""relation\"": null, \""num_words\"": null, \""num_placeholders\"": null, \""prompt_to_repeat\"": null, \""num_bullets\"": null, \""section_spliter\"": null, \""num_sections\"": null, \""capital_relation\"": null, \""capital_frequency\"": null, \""keywords\"": null, \""num_paragraphs\"": null, \""language\"": null, \""let_relation\"": null, \""letter\"": null, \""let_frequency\"": null, \""end_phrase\"": null, \""forbidden_words\"": null, \""keyword\"": null, \""frequency\"": null, \""num_sentences\"": null, \""postscript_marker\"": null, \""first_word\"": null, \""nth_paragraph\"": null}, {\""num_highlights\"": null, \""relation\"": null, \""num_words\"": null, \""num_placeholders\"": null, \""prompt_to_repeat\"": null, \""num_bullets\"": null, \""section_spliter\"": null, \""num_sections\"": null, \""capital_relation\"": null, \""capital_frequency\"": null, \""keywords\"": null, \""num_paragraphs\"": null, \""language\"": \""vi\"", \""let_relation\"": null, \""letter\"": null, \""let_frequency\"": null, \""end_phrase\"": null, \""forbidden_words\"": null, \""keyword\"": null, \""frequency\"": null, \""num_sentences\"": null, \""postscript_marker\"": null, \""first_word\"": null, \""nth_paragraph\"": null}, {\""num_highlights\"": null, \""relation\"": null, \""num_words\"": null, \""num_placeholders\"": null, \""prompt_to_repeat\"": null, \""num_bullets\"": null, \""section_spliter\"": null, \""num_sections\"": null, \""capital_relation\"": null, \""capital_frequency\"": null, \""keywords\"": null, \""num_paragraphs\"": null, \""language\"": null, \""let_relation\"": null, \""letter\"": null, \""let_frequency\"": null, \""end_phrase\"": null, \""forbidden_words\"": null, \""keyword\"": null, \""frequency\"": null, \""num_sentences\"": null, \""postscript_marker\"": null, \""first_word\"": null, \""nth_paragraph\"": null}]}""], ""references"": []}","""v0.1.0""","Criticize this sentence in a funny way: ""Nhiệm vụ của mẹ là nuôi dạy con cái.""

Provide exactly two critiques separated by ******. Each response should be entirely in Vietnamese, no other language is allowed, and should not contain commas.","combination:two_responses|language:response_language|punctuation:no_comma","combination|language|punctuation",3,3,"""[{\""capital_frequency\"": null, \""capital_relation\"": null, \""end_phrase\"": null, \""first_word\"": null, \""forbidden_words\"": null, \""frequency\"": null, \""keyword\"": null, \""keywords\"": null, \""language\"": null, \""let_frequency\"": null, \""let_relation\"": null, \""letter\"": null, \""nth_paragraph\"": null, \""num_bullets\"": null, \""num_highlights\"": null, \""num_paragraphs\"": null, \""num_placeholders\"": null, \""num_sections\"": null, \""num_sentences\"": null, \""num_words\"": null, \""postscript_marker\"": null, \""prompt_to_repeat\"": null, \""relation\"": null, \""section_spliter\"": null}, {\""capital_frequency\"": null, \""capital_relation\"": null, \""end_phrase\"": null, \""first_word\"": null, \""forbidden_words\"": null, \""frequency\"": null, \""keyword\"": null, \""keywords\"": null, \""language\"": \""vi\"", \""let_frequency\"": null, \""let_relation\"": null, \""letter\"": null, \""nth_paragraph\"": null, \""num_bullets\"": null, \""num_highlights\"": null, \""num_paragraphs\"": null, \""num_placeholders\"": null, \""num_sections\"": null, \""num_sentences\"": null, \""num_words\"": null, \""postscript_marker\"": null, \""prompt_to_repeat\"": null, \""relation\"": null, \""section_spliter\"": null}, {\""capital_frequency\"": null, \""capital_relation\"": null, \""end_phrase\"": null, \""first_word\"": null, \""forbidden_words\"": null, \""frequency\"": null, \""keyword\"": null, \""keywords\"": null, \""language\"": null, \""let_frequency\"": null, \""let_relation\"": null, \""letter\"": null, \""nth_paragraph\"": null, \""num_bullets\"": null, \""num_highlights\"": null, \""num_paragraphs\"": null, \""num_placeholders\"": null, \""num_sections\"": null, \""num_sentences\"": null, \""num_words\"": null, \""postscript_marker\"": null, \""prompt_to_repeat\"": null, \""relation\"": null, \""section_spliter\"": null}]"""
