"factor","direction","item_id","benchmark","category","source","empirical_accuracy","alpha","signed_loading","primary_semantic","question_snippet"
"F1","positive","ifeval_20260421T021146Z_127","ifeval",NA,NA,0.713114754098361,0.347204143278563,1.53312042415235,"instruction/constraint following","I'm a 12th grader and I need some help with my college applications, can you give me some advice? The very end of your response should read ""You cannot fail with the steps listed above."" No other words should follow this phrase."
"F1","positive","ifeval_20260421T021146Z_186","ifeval",NA,NA,0.762295081967213,0.720539052441778,1.43189275976458,"instruction/constraint following","Write a review of IBM's 1956 chess program. Make sure your entire response is wrapped in double quotation marks."
"F1","positive","ifeval_20260421T021146Z_289","ifeval",NA,NA,0.737704918032787,0.535896939245812,1.41729785659027,"instruction/constraint following","Improve the following text, which is about how to learn a language. Also, provide two alternatives. The text is: ""The best way to learn about a new culture is by living in it. Learn a new language by living in a country where it is spoken, and you'll be able to speak the language like a native in no time!"". Finish your response with ""Is there anything else I"
"F1","positive","ifeval_20260421T021146Z_6","ifeval",NA,NA,0.795081967213115,0.988638447796289,1.41015486959823,"instruction/constraint following","Write a 2 paragraph critique of the following sentence in all capital letters, no lowercase letters allowed: ""If the law is bad, you should not follow it"". Label each paragraph with PARAGRAPH X."
"F1","positive","ifeval_20260421T021146Z_285","ifeval",NA,NA,0.754098360655738,0.655539143561207,1.40130017411453,"instruction/constraint following","Write a TLDR for the recent conflict between ISIL and the US in conversational bullet points. End your response with this exact phrase: ""Let me know if you have additional questions."", and no other words should follow this phrase."
"F1","positive","ifeval_20260421T021146Z_352","ifeval",NA,NA,0.729508196721312,0.461241911517479,1.39394729438638,"instruction/constraint following","Why did the man travel from Saskatoon to Helsinki to buy a piano? Wrap your entire response in double quotes."
"F1","positive","ifeval_20260421T021146Z_21","ifeval",NA,NA,0.737704918032787,0.529255732090653,1.38283675112719,"instruction/constraint following","Given the sentence ""It is unclear how much of this money is actually being spent on children"", is the sentiment positive or negative? The very last sentence of your response should be ""Is there anything else I can help with?""."
"F1","positive","ifeval_20260421T021146Z_214","ifeval",NA,NA,0.770491803278688,0.775363325621124,1.38064811592648,"instruction/constraint following","Do you think Kareena Kapoor is a good actor? Wrap your response with double quotation marks."
"F1","positive","ifeval_20260421T021146Z_168","ifeval",NA,NA,0.721311475409836,0.436966749126051,1.37059506787612,"instruction/constraint following","How can I learn to code? Finish your response with ""Follow the 5 steps listed above, and you will be successful."" No other words should follow this."
"F1","positive","ifeval_20260421T021146Z_254","ifeval",NA,NA,0.688524590163934,0.208371148141499,1.36432936994244,"instruction/constraint following","Before you answer it, just repeat the request below. You need to repeat it exactly as it is. Do not change any word. Write a song about a corgi named Chester who loves to play fetch."
