"item_id","empirical_accuracy","benchmark","primary_semantic","question_snippet","F1","F2","F3","strongest_factor","max_abs_loading","n_active_factors","active_pattern"
"ifeval_20260421T021146Z_127",0.713114754098361,"ifeval","instruction/constraint following","I'm a 12th grader and I need some help with my college applications, can you give me some advice? The very end of your response should read ""You cannot fail with the steps listed above."" No other words should follow this phrase.",1.53312042415235,0,0,"F1",1.53312042415235,1,"100"
"ifeval_20260421T021146Z_186",0.762295081967213,"ifeval","instruction/constraint following","Write a review of IBM's 1956 chess program. Make sure your entire response is wrapped in double quotation marks.",1.43189275976458,0,0,"F1",1.43189275976458,1,"100"
"ifeval_20260421T021146Z_289",0.737704918032787,"ifeval","instruction/constraint following","Improve the following text, which is about how to learn a language. Also, provide two alternatives. The text is: ""The best way to learn about a new culture is by living in it. Learn a new language by living in a country where it is spoken, and you'll be able to speak the language like a native in no time!"". Finish your response with ""Is there anything else I",1.41729785659027,0,0,"F1",1.41729785659027,1,"100"
"ifeval_20260421T021146Z_6",0.795081967213115,"ifeval","instruction/constraint following","Write a 2 paragraph critique of the following sentence in all capital letters, no lowercase letters allowed: ""If the law is bad, you should not follow it"". Label each paragraph with PARAGRAPH X.",1.41015486959823,0,0,"F1",1.41015486959823,1,"100"
"ifeval_20260421T021146Z_285",0.754098360655738,"ifeval","instruction/constraint following","Write a TLDR for the recent conflict between ISIL and the US in conversational bullet points. End your response with this exact phrase: ""Let me know if you have additional questions."", and no other words should follow this phrase.",1.40130017411453,0,0,"F1",1.40130017411453,1,"100"
"ifeval_20260421T021146Z_352",0.729508196721312,"ifeval","instruction/constraint following","Why did the man travel from Saskatoon to Helsinki to buy a piano? Wrap your entire response in double quotes.",1.39394729438638,0,0,"F1",1.39394729438638,1,"100"
"ifeval_20260421T021146Z_21",0.737704918032787,"ifeval","instruction/constraint following","Given the sentence ""It is unclear how much of this money is actually being spent on children"", is the sentiment positive or negative? The very last sentence of your response should be ""Is there anything else I can help with?"".",1.38283675112719,0,0,"F1",1.38283675112719,1,"100"
"ifeval_20260421T021146Z_214",0.770491803278688,"ifeval","instruction/constraint following","Do you think Kareena Kapoor is a good actor? Wrap your response with double quotation marks.",1.38064811592648,0,0,"F1",1.38064811592648,1,"100"
"ifeval_20260421T021146Z_168",0.721311475409836,"ifeval","instruction/constraint following","How can I learn to code? Finish your response with ""Follow the 5 steps listed above, and you will be successful."" No other words should follow this.",1.37059506787612,0,0,"F1",1.37059506787612,1,"100"
"ifeval_20260421T021146Z_254",0.688524590163934,"ifeval","instruction/constraint following","Before you answer it, just repeat the request below. You need to repeat it exactly as it is. Do not change any word. Write a song about a corgi named Chester who loves to play fetch.",1.36432936994244,0,0.0206041412262988,"F1",1.36432936994244,1,"100"
"ifeval_20260421T021146Z_525",0.762295081967213,"ifeval","instruction/constraint following","Write a tweet that is angry about the stunning lack of Virgil van Dijk in the PFA Team of the Year. Italicize at least 2 sections in your answer with markdown, i.e. *italic text section*. Do not use commas in your response. Finish your response with this exact phrase: So what is next?",1.3558827492237,0,0.0727453177551678,"F1",1.3558827492237,1,"100"
"ifeval_20260421T021146Z_64",0.737704918032787,"ifeval","instruction/constraint following","Write a funny article about why the dinosaurs went extinct and put double quotations marks around your whole response. Include exactly 8 bullet points in your response. The bullet points should be in the form of: * This is bullet 1 * This is bullet 2 ...",1.34598635383885,0,0,"F1",1.34598635383885,1,"100"
"ifeval_20260421T021146Z_84",0.729508196721312,"ifeval","instruction/constraint following","Write an article about the reality of disability. Your article must end with the exact phrase ""Is there anything else I can help with?"". No other words should follow this phrase.",1.3400244445863,0,0,"F1",1.3400244445863,1,"100"
"ifeval_20260421T021146Z_233",0.770491803278688,"ifeval","instruction/constraint following","What is multivariate analysis? Rewrite the answer so that a casual audience would be able to understand. Please end your response with ""Is there anything else I can help with?"" and no other words should follow this statement.",1.32527002932915,0,0,"F1",1.32527002932915,1,"100"
"ifeval_20260421T021146Z_112",0.713114754098361,"ifeval","instruction/constraint following","What's a good way to ask Sonia out? Please reply with exactly 4 paragraphs and separate each paragraph with two new lines. Put double quotation marks around your entire response. The very first paragraph must start with the word ""weekend"".",1.30974829827356,0,0.0116912754281229,"F1",1.30974829827356,1,"100"
"ifeval_20260421T021146Z_488",0.704918032786885,"ifeval","instruction/constraint following","Write a song about innovation with a positive tone that is appealing to teenagers. Put your entire response in double quotation marks.",1.30012223824549,0,0,"F1",1.30012223824549,1,"100"
"ifeval_20260421T021146Z_416",0.598360655737705,"ifeval","instruction/constraint following","Write a cover letter for a job and end with exactly ""Call me at 631-481-4867"" No other words should follow that phrase.",1.29986770571968,0,0.0739730146570368,"F1",1.29986770571968,1,"100"
"ifeval_20260421T021146Z_218",0.663934426229508,"ifeval","instruction/constraint following","Write an academic proposal to a customer who's interested in implementing a new feature for their product. Put double quotes around your entire response.",1.29526780613609,0,0,"F1",1.29526780613609,1,"100"
"ifeval_20260421T021146Z_362",0.762295081967213,"ifeval","instruction/constraint following","Is ballistics (the study of the motion of projectiles) an actual science? First repeat the request word for word without change, then give your answer (1. do not say any words or characters before repeating the request; 2. the request you need to repeat does not include this sentence)",1.29287162364293,0,0.188469245752066,"F1",1.29287162364293,1,"100"
"ifeval_20260421T021146Z_346",0.762295081967213,"ifeval","instruction/constraint following","Write a joke about xml with a setup and a punchline. Wrap your entire response in double quotation marks.",1.29198963343243,0,0,"F1",1.29198963343243,1,"100"
"ifeval_20260421T021146Z_242",0.770491803278688,"ifeval","instruction/constraint following","First repeat the request below word for word without change, then give your answer. Do not say any words or characters before repeating the request. Write a good name for a black dog. Your answer must contain a title, wrapped in double angular brackets.",1.28928391593614,0,0.0339030933441606,"F1",1.28928391593614,1,"100"
"ifeval_20260421T021146Z_275",0.713114754098361,"ifeval","instruction/constraint following","Rewrite the following sentence to exactly 3 paragraphs, separated by two new lines and without using any commas: ""Offences are not the only things that are grasped by the police."". Paragraph 1 must start with word punched. The response must contain at least 2 placeholders represented by square brackets, such as [address].",1.27597840209325,0,0.290342507216392,"F1",1.27597840209325,1,"100"
"ifeval_20260421T021146Z_177",0.811475409836066,"ifeval","instruction/constraint following","My brother is trying to install a new toilet in his bathroom. Could you give me details of how-to? You don't need to show all details -- just the first 5 steps for now. Separated them with ""***"", such as: Step 1: ...... *** Step 2: ...... *** ... End your whole response with the phrase ""Let me know how it works. I can give you next steps when you finish all ",1.27511021254953,0,0,"F1",1.27511021254953,1,"100"
"ifeval_20260421T021146Z_15",0.745901639344262,"ifeval","instruction/constraint following","Please provide the names of 5 famous moms in JSON format. Please, use any interesting or weird tone. Your entire output should just contain a JSON block, nothing else.",1.26612406970482,0,0,"F1",1.26612406970482,1,"100"
"ifeval_20260421T021146Z_391",0.729508196721312,"ifeval","instruction/constraint following","Write a poem about the top 20 tallest buildings in the world and their heights. End your response with the exact question: Is there anything else I can help with?",1.25529806019328,0,0,"F1",1.25529806019328,1,"100"
"ifeval_20260421T021146Z_385",0.713114754098361,"ifeval","instruction/constraint following","What are the common signs and symptoms of abdominal and pelvic dissemination of ovarian cancer? Please answer in lower case letters. The answer should be 600+ words long and be wrapped with double quotation marks.",1.24768758495647,0,0,"F1",1.24768758495647,1,"100"
"ifeval_20260421T021146Z_435",0.762295081967213,"ifeval","instruction/constraint following","Give me 5 Q and As, following the following format: "" Q & A # 1 *** Q & A # 2 *** Q & A # 3 *** Q & A # 4 *** Q & A # 5 "" Wrap your entire response with double quotation marks.",1.24719286257946,0,0,"F1",1.24719286257946,1,"100"
"ifeval_20260421T021146Z_383",0.754098360655738,"ifeval","instruction/constraint following","Why do you think Google engineers stay at Google more often than moving to Microsoft? Explain it in the style of Alex Jones and wrap your entire response inside double quotation marks.",1.23172938561127,0,0,"F1",1.23172938561127,1,"100"
"ifeval_20260421T021146Z_302",0.688524590163934,"ifeval","instruction/constraint following","Write a summary of the plot of ""The Great Gatsby"" in the style of a tabloid newspaper. Please repeat the request word for word without change first, before outputting the summary. Do not say anything before repeating the request.",1.21891778914291,0,0.257612212792624,"F1",1.21891778914291,1,"100"
"ifeval_20260421T021146Z_41",0.729508196721312,"ifeval","instruction/constraint following","Write a poem about two people who meet in a coffee shop and end your entire response with the exact phrase ""Is there anything else I can help with?""",1.21723185623328,0,0,"F1",1.21723185623328,1,"100"
"ifeval_20260421T021146Z_421",0.786885245901639,"ifeval","instruction/constraint following","Who is Joe Biden and Donald Trump's national security advisors? Responses should be separated by 6 asterisk symbols (******). In other words, your output should look like: [Joe Biden's national security advisors is ....] ****** [Donald Trump's national security advisors is ....]",1.21598684250205,0,0,"F1",1.21598684250205,1,"100"
"ifeval_20260421T021146Z_202",0.754098360655738,"ifeval","instruction/constraint following","What kind of fashion would Frankenstein's bride wear? Make your answer weird or interesting and use only lowercase letters. Your answer must contain exactly 3 bullet points using the markdown bullet points format, such as: * Bullet point 1",1.20861418753459,0,0,"F1",1.20861418753459,1,"100"
"ifeval_20260421T021146Z_253",0.655737704918033,"ifeval","instruction/constraint following","Write a travel itinerary for a trip to Paris that is suitable for teenagers with short attention spans. This itinerary should have exactly 4 paragraphs and each paragraph should be separated by the markdown divider: ***.",1.20554017978235,0,0.155390755579548,"F1",1.20554017978235,1,"100"
"ifeval_20260421T021146Z_299",0.762295081967213,"ifeval","instruction/constraint following","Which of the following is a better way to describe supporting ecological landscapes: (A) the practice of using the natural features of a landscape to create a more sustainable environment, or (B) the practice of using the natural features of a landscape to create a more aesthetically pleasing environment? Your response should be in English, all capital lette",1.19086047376807,0,0.182911860323545,"F1",1.19086047376807,1,"100"
"ifeval_20260421T021146Z_224",0.754098360655738,"ifeval","instruction/constraint following","Rewrite the sentence: ""I flung my hatred into the burning fire."" Put your entire response in double quotation marks.",1.18566635302557,0,0,"F1",1.18566635302557,1,"100"
"ifeval_20260421T021146Z_29",0.704918032786885,"ifeval","instruction/constraint following","What are the advantages and disadvantages of having supernatural powers? Make it short. Wrap the entire output in JSON format. You can use markdown ticks such as ```.",1.18472124308765,0,0,"F1",1.18472124308765,1,"100"
"ifeval_20260421T021146Z_357",0.631147540983607,"ifeval","instruction/constraint following","Write a rubric for performance review of a software engineer and wrap the entire output in JSON format. You can use markdown ticks such as ```.",1.18245279654276,0.124987526751771,0,"F1",1.18245279654276,1,"100"
"ifeval_20260421T021146Z_304",0.680327868852459,"ifeval","instruction/constraint following","Is Grafton, Vermont a good place to live? Write exactly 3 paragraphs each separated with two new lines answering this question. The first paragraph must start with ""send"".",1.16719716544939,0,0.0453038274295371,"F1",1.16719716544939,1,"100"
"ifeval_20260421T021146Z_130",0.704918032786885,"ifeval","instruction/constraint following","Write a rubric for evaluating a musical composition. Please wrap your entire reply with double quotation marks. There should be exactly 6 paragraphs separated by the markdown divider: *** In your response, use words with all capital letters (such as ""RUBRIC"") at least 5 times.",1.15036899589741,0,0.198769305169712,"F1",1.15036899589741,1,"100"
"ifeval_20260421T021146Z_382",0.704918032786885,"ifeval","instruction/constraint following","Give 3 advice to teenagers who are struggling with their identity. Please use the exact format below: advice 1 .... *** advice 2 .... *** advice 3 ....",1.14557616279902,0,0.0349730044673414,"F1",1.14557616279902,1,"100"
"ifeval_20260421T021146Z_4",0.819672131147541,"ifeval","instruction/constraint following","Given the sentence ""Two young boys with toy guns and horns."" can you ask a question? Please ensure that your response is in English, and in all lowercase letters. No capital letters are allowed.",1.13840974876836,0,0,"F1",1.13840974876836,1,"100"
"ifeval_20260421T021146Z_40",0.704918032786885,"ifeval","instruction/constraint following","Write a blog post about the history of the internet and how it has impacted our lives. Aim the blog post at teenagers and wrap your entire response with double quotation marks.",1.13656970394977,0,0,"F1",1.13656970394977,1,"100"
"ifeval_20260421T021146Z_269",0.737704918032787,"ifeval","instruction/constraint following","Radcliffe was the only one who could get past the guards. What could be said about him? Please wrap your entire response in JSON format. Markdown ticks (```) are acceptable.",1.13646720655994,0,-0.126622531532988,"F1",1.13646720655994,1,"100"
"ifeval_20260421T021146Z_141",0.729508196721312,"ifeval","instruction/constraint following","Write an essay about the life of Benjamin Franklin. Then summarize your essay into a poem. Separate the essay and the poem with 6 asterisk symbols: ****** In other words, your response should have the following form: [essay] ****** [poem]",1.13395862928184,0,0,"F1",1.13395862928184,1,"100"
"ifeval_20260421T021146Z_165",0.729508196721312,"ifeval","instruction/constraint following","Write a strange rap song about Alexander the Great becoming the king of Macedon. Finish the song with: Peace! No additional words should follow ""Peace!""",1.13033041670344,0,0,"F1",1.13033041670344,1,"100"
"ifeval_20260421T021146Z_323",0.737704918032787,"ifeval","instruction/constraint following","Write a cover letter for a job in Ventura that is funny and would be enjoyed by someone named Darius, wrap the entire response in double quotation marks.",1.12260985856299,0,0,"F1",1.12260985856299,1,"100"
"ifeval_20260421T021146Z_397",0.631147540983607,"ifeval","instruction/constraint following","Write a funny letter to 6th graders at your school in list format. The letter should be about something important to you and you should end your entire response with the phrase ""Is there anything else I can help with?""",1.12207433958488,0,0,"F1",1.12207433958488,1,"100"
"ifeval_20260421T021146Z_431",0.721311475409836,"ifeval","instruction/constraint following","Does the sentence ""He hurried through the archaic rooms of the museum"" have any grammatical errors? Answer in all capital letters, and organize your entire response in 5 or 6 sentences.",1.1210490163518,0.188757164577895,0.056240117733724,"F1",1.1210490163518,1,"100"
"ifeval_20260421T021146Z_157",0.778688524590164,"ifeval","instruction/constraint following","Create an English name for a luxury real estate company that sells beachfront homes. All letters in your response must be lower case letters. Also, please put double quotation marks around your entire response.",1.11213007855849,0,0,"F1",1.11213007855849,1,"100"
"ifeval_20260421T021146Z_420",0.680327868852459,"ifeval","instruction/constraint following","Compose a startup pitch on a new app called Tipperary that helps people to find the average tip size for each restaurant. Please make the response strongly structured. Wrap your entire output in JSON format.",1.11127653079949,0,0,"F1",1.11127653079949,1,"100"
"ifeval_20260421T021146Z_237",0.721311475409836,"ifeval","instruction/constraint following","Can you tell me about the Hamptons? Your answer must be at least 300 words, must contain at least 3 placeholders represented by square brackets, such as [address] and exactly 2 bullet points using the markdown bullet points such as: * Bullet point 1 * Bullet point 2",1.10969766595821,0,0.30687130723585,"F1",1.10969766595821,1,"100"
"ifeval_20260421T021146Z_424",0.704918032786885,"ifeval","instruction/constraint following","Write an interesting riddle that uses math notation. First repeat the request word for word without change, then give your answer. Do not say any word before repeating the request.",1.10965466777776,0,0.252257896997961,"F1",1.10965466777776,1,"100"
"ifeval_20260421T021146Z_506",0.532786885245902,"ifeval","instruction/constraint following","Write a poem about Gibbs free energy in the style of POTUS. There should be exactly 4 paragraphs. Paragraphs and only paragraphs should be separated by two new lines (like ""\n\n""). Paragraph 2 must start with the word ""it"".",1.10730345813584,0,0,"F1",1.10730345813584,1,"100"
"ifeval_20260421T021146Z_152",0.754098360655738,"ifeval","instruction/constraint following","I want to write a reflective essay on how my life has changed since I started college. Do you have any recommendation? Please reply in English and capitalize all your words. Control the length of your reply. I don't want anything longer than 30 words.",1.0991554886734,0,0.00672276777292513,"F1",1.0991554886734,1,"100"
"ifeval_20260421T021146Z_513",0.811475409836066,"ifeval","instruction/constraint following","Why is Algiers the best place to go on vacation? Answer with exactly one sentence. Put double quotation marks around your entire one-sentence response.",1.09479986383043,0,-0.10215669214535,"F1",1.09479986383043,1,"100"
"ifeval_20260421T021146Z_324",0.811475409836066,"ifeval","instruction/constraint following","Write a haiku about foolish behavior in the form of a question, for an audience of young readers. It should include the topic of not studying. Give exactly two different responses, separated by 6 asterisk symbols (******), and include a title wrapped in double angular brackets, i.e. <<title>>. Do not use commas.",1.09047531106419,0,0.23375570748267,"F1",1.09047531106419,1,"100"
"ifeval_20260421T021146Z_520",0.852459016393443,"ifeval","instruction/constraint following","Write an advertisement for a perfume called ""Rhapsody"". It's a perfume with a fresh citrus scent. Wrap your entire response with double quotation marks. Do not include the words perfume, fresh, or good in the advertisement.",1.08891655674285,0,0,"F1",1.08891655674285,1,"100"
"ifeval_20260421T021146Z_288",0.860655737704918,"ifeval","instruction/constraint following","Give me a logical question about chatting and conquering. Make it interesting. Highlight at least one section of your answer with markdown, i.e. *highlighted section*. Put your entire response inside double quotation marks.",1.08867355457238,0,0,"F1",1.08867355457238,1,"100"
"ifeval_20260421T021146Z_34",0.827868852459016,"ifeval","instruction/constraint following","Explain why people are grossed out by worms but not by eating a dead cow. Give exactly two different responses separated by 6 asterisk symbols ******. Your answer must contain a title, wrapped in double angular brackets, i.e. <<title>>.",1.08830962637386,0,0,"F1",1.08830962637386,1,"100"
"ifeval_20260421T021146Z_363",0.60655737704918,"ifeval","instruction/constraint following","What's different between ""the set of all sets that are not members of themselves"" and ""the set of all sets""? Use mathematical notations in your answer. Be chatty while explaining. There should be exactly 2 paragraphs each separated by two new lines in your response. Paragraph 1 must start with the word booster.",1.07923609627584,0,0.317765237685332,"F1",1.07923609627584,1,"100"
"ifeval_20260421T021146Z_16",0.737704918032787,"ifeval","instruction/constraint following","What is a name that people call God? Please give exactly two different responses. Separate the responses with 6 asterisk symbols: ******.",1.07908729113519,0,0.121667886861894,"F1",1.07908729113519,1,"100"
"ifeval_20260421T021146Z_20",0.729508196721312,"ifeval","instruction/constraint following","Write a poem about how I am missing my classes. The poem must have 4 sections marked with SECTION X. Finish the poem with this exact phrase: ""Can I get my money back for the classes I missed?""",1.07048097527186,0,0.162233634433635,"F1",1.07048097527186,1,"100"
"ifeval_20260421T021146Z_1",0.721311475409836,"ifeval","instruction/constraint following","I am planning a trip to Japan, and I would like thee to write an itinerary for my journey in a Shakespearean style. You are not allowed to use any commas in your response.",1.06763242989915,0,0.383392997304557,"F1",1.06763242989915,1,"100"
"ifeval_20260421T021146Z_56",0.795081967213115,"ifeval","instruction/constraint following","What is the difference between the 13 colonies and the other British colonies in North America? Your answer must contain exactly 6 bullet point in Markdown using the following format: * Bullet point one. * Bullet point two. ... * Bullet point fix.",1.06707584808798,0,0,"F1",1.06707584808798,1,"100"
